X	Y	Construct
0	-0.410707011	WT
14.64	89.43641298	WT
15.54	118.8072001	WT
21.64	104.701322	WT
26.84	115.0683626	WT
31.64	152.6277247	WT
0	-0.881564549	WT
8.7	98.43418153	WT
8.4	89.82492755	WT
12.8	107.0285608	WT
17.9	112.2928328	WT
19.2	129.7845376	WT
0	-3.414389019	WT
17.6	92.72366996	WT
25.8	120.1226586	WT
31.1	108.4377603	WT
54.2	118.48122	WT
66.8	145.1678601	WT
0	-0.636814439	WT
19.4	102.8532319	WT
7.1	94.34839035	WT
21.8	118.9335254	WT
48.8	124.9411059	WT
80.5	129.7802804	WT
0	-5.04068009	WT
11.46	64.01970141	WT
21.96	83.09901174	WT
24.56	101.0623478	WT
40.56	96.93061448	WT
96.26	179.9645023	WT
0	10.51227918	Y320E
13.64	36.42483713	Y320E
14.84	41.49669721	Y320E
14.64	53.82369257	Y320E
22.94	78.97283897	Y320E
26.94	103.4993783	Y320E
0	8.274470777	Y320E
7.65	30.20539649	Y320E
9.05	53.45903773	Y320E
16.95	41.57371681	Y320E
16.15	30.35120991	Y320E
26.25	85.23702212	Y320E
0	-3.619295996	Y320E
22.3	42.4724195	Y320E
30.1	62.57961202	Y320E
39.4	70.57775901	Y320E
56.5	105.9901411	Y320E
62	96.92427367	Y320E
0	-1.949886338	Y320E
15.6	39.7817382	Y320E
21.3	42.51867494	Y320E
19.4	48.64241541	Y320E
47.8	33.29244986	Y320E
73.8	101.8607672	Y320E
0	-15.21010518	Y320E
17.12	20.07695388	Y320E
29.72	31.0829035	Y320E
36.22	23.74629561	Y320E
74.02	39.52445769	Y320E
111.62	79.38456433	Y320E
0	-4.310372877	Y320F
14.97	66.09171679	Y320F
11.57	63.39542757	Y320F
13.57	40.85903385	Y320F
22.97	45.43733129	Y320F
29.87	79.94021612	Y320F
0	1.392444055	Y320F
8.37	53.41736363	Y320F
14.77	60.52667654	Y320F
20.77	59.37290702	Y320F
38.17	68.80493494	Y320F
29.17	110.3239388	Y320F
0	3.130062201	Y320F
29.8	51.89314875	Y320F
32	69.61420749	Y320F
56.1	76.85664202	Y320F
67.7	66.98186938	Y320F
49.9	134.2725702	Y320F
0	16.57597351	Y320F
17.1	68.92563189	Y320F
20.8	81.90730709	Y320F
23	70.55169248	Y320F
34.9	182.5244893	Y320F
0	4.375990061	Y320F
9.4	23.57354774	Y320F
25.9	45.59219788	Y320F
36.5	51.04435759	Y320F
56	64.02853444	Y320F
69.4	86.25147155	Y320F
